Parameter,Parameter Name,Parameter Units,Parameter Field Name,status,comment
temperature,Temperature,Celsius,Temperature,raw,
specific_conductance,Specific Conductance,mS/cm,Specific_Conductance,raw,
salinity,Salinity,ppt,Salinity,raw,
do_pct,DO percent,%,DO_percent,raw,
dissolved_oxygen,Dissolved Oxygen,mg/L,Dissolved_Oxygen,raw,
do_charge,DO Charge,n/a,DO_Charge,raw,
ph,pH,su,pH,raw,
turbidity,Turbidity,NTU,Turbidity,raw,
chlorophyll,Chlorophyll,ug/L,Chlorophyll,raw,
phycocyanin,Phycocyanin,rfu,Phycocyanin,raw,
sysbattery,sysbattery,V,sysbattery,raw,
